StatCode5,ShiptypeLevel5,Level4Code,ShipTypeLevel4,Level3Code,ShipTypeLevel3,Level2Code,ShipTypeLevel2,ShipTypeLevel1Code,ShiptypeLevel1,HullType,SubGroup,SubType
B34D2SB,Cable Repair Ship,B34D,Cable Layer,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Cable Repair Ship
B34D2SL,Cable Layer,B34D,Cable Layer,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Cable-Layer
B34E2SV,Incinerator,B34E,Waste Disposal Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Incinerator
B34E2SW,Waste Disposal Vessel,B34E,Waste Disposal Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Waste Disposal Vessel
B34E2SY,Effluent carrier,B34E,Waste Disposal Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Effluent carrier
B34F2SF,Fire Fighting Vessel,B34F,Fire Fighting Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Fire-Fighting Vessel
B34G2SE,Pollution Control Vessel,B34G,Pollution Control Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Pollution Control Vessel
B34H2SQ,Patrol Vessel,B34H,Patrol Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Patrol Vessel
B34J2SD,Crew Boat,B34J,Crew Boat,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Crewboat
B34K2QT,Training Ship,B34K,Training Ship,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Training Ship
B34L2QU,Utility Vessel,B34L,Utility Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Utility Vessel
B34M2QS,Search & Rescue Vessel,B34M,Search & Rescue Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Search & Rescue Vessel
B34N2QP,Pilot Vessel,B34N,Pilot Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Pilot Vessel
B34P2QV,Salvage Ship,B34P,Salvage Ship,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Salvage Ship
B34Q2QB,Buoy Tender,B34Q,Buoy/Lighthouse Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Buoy Tender
B34Q2QL,Buoy & Lighthouse Tender,B34Q,Buoy/Lighthouse Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Buoy & Lighthouse Tender
B34Q2QX,Lighthouse Tender,B34Q,Buoy/Lighthouse Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Lighthouse Tender
B34R2QY,Supply Tender,B34R,Supply Tender,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Supply Tender
B34S2QM,Mooring Vessel,B34S,Mooring Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Mooring Vessel
B34T2QR,Work/Repair Vessel,B34T,Work/Repair Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Work/Repair Vessel
B34U2QH,Hospital Vessel,B34U,Hospital Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Hospital Vessel
B34V2QC,Tank Cleaning Vessel,B34V,Tank Cleaning Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Tank-Cleaning Vessel
B34W2QJ,Trans Shipment Vessel,B34W,Trans Shipment Vessel,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Trans-Shipment Vessel
B34X2QA,Anchor Handling Vessel,B34X,Anchor Hoy,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Anchor Hoy
B34Z2QG,Log Tipping Ship,B34Z,Log Tipping Ship,B34,Other Activities,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Log-Tipping Ship
B35A2QE,Exhibition Vessel,B35A,Leisure Vessels,B35,,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Exhibition Vessel
B35A2QI,Theatre Vessel,B35A,Leisure Vessels,B35,,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Theatre Vessel
B35A2QZ,Mission Ship,B35A,Leisure Vessels,B35,,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 2,Mission Ship
B35B2SU,Bulk Dry Storage Ship,B35B,Dry Storage,B35,,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Bulk Dry Storage Ship
B35B2SX,Bulk Cement Storage Ship,B35B,Dry Storage,B35,,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Bulk Cement Storage Ship
B35C2SM,Mining Vessel,B35C,Mining Vessel,B35,,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Specialist 1,Mining Vessel
B35E2TF,Bunkering Tanker,B35E,Bunkering Tanker,B35,,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Petroleum Products,Bunkering Tanker
B35F2WE,Power Station Vessel,B35F,Power Station Vessel,B35,,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Pontoons and Structures,Power Station
B35X2XX,Vessel (function unknown),B35X,Vessel (function unknown),B35,,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Miscellaneous,Vessel (Function unknown)
B35Y2XV,Sailing Vessel,B35Y,Sailing Vessel,B35,,B3,Miscellaneous,B,Work Vessel,Ship Shape Including Multi-Hulls,Miscellaneous,Sailing Vessel
W11A5TC,"Chemical Tanker, Inland Waterways",W11A,Inland Waterways Chemical Tanker,W11,Tanker,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Petroleum Products,Chemical Tanker
W11A5TR,"Chemical/Products Tanker, Inland Waterways",W11A,Inland Waterways Chemical Tanker,W11,Tanker,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Petroleum Products,Chemical/Products Tanker
W11B5TU,"Oil Tanker, Inland Waterways",W11B,Inland Waterways Oil Tanker,W11,Tanker,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Petroleum Products,Oil Tanker (unspecified)
W11C5LE,"Edible Oil Tanker, Inland Waterways",W11C,Inland Waterways Other Liquids Tanker,W11,Tanker,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Liquid cargo,Edible Oil Tanker
W11C5LO,"Water Tanker, Inland Waterways",W11C,Inland Waterways Other Liquids Tanker,W11,Tanker,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Liquid cargo,Water Tanker
W11C5LV,"Vegetable Oil Tanker, Inland Waterways",W11C,Inland Waterways Other Liquids Tanker,W11,Tanker,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Liquid cargo,Vegetable Oil Tanker
W12A5BT,"Bulk Cement Carrier, Inland Waterways",W12A,Inland Waterways Dry Cargo,W12,Dry Cargo/Passenger,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Dry Bulk Cargo,Cement Carrier
W12A5CC,"Container Ship (Fully Cellular), Inland Waterways",W12A,Inland Waterways Dry Cargo,W12,Dry Cargo/Passenger,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Cellular Container,Container Ship (Fully Cellular)
W12A5GC,"General Cargo, Inland Waterways",W12A,Inland Waterways Dry Cargo,W12,Dry Cargo/Passenger,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,General Cargo,General Cargo (with container facility)
W12B5GF,"General Cargo/Passenger Ship, Inland Waterways",W12B,Inland Waterways Passenger/General Cargo,W12,Dry Cargo/Passenger,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,General Cargo,General Cargo/Passenger Ship
W12C5RR,"Ro-Ro Cargo Ship, Inland Waterways",W12C,Inland Waterways Ro-Ro Cargo,W12,Dry Cargo/Passenger,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Ro-Ro,Ro-Ro Cargo Ship
W12D5PR,"Passenger/Ro-Ro Ship (Vehicles), Inland Waterways",W12D,Inland Waterways Passenger/Ro-Ro Cargo,W12,Dry Cargo/Passenger,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Passenger,Passenger/Ro-Ro Ship (Vehicles)
W12D5PT,"Passenger/Ro-Ro Ship (Vehicles/Train), Inland Waterways",W12D,Inland Waterways Passenger/Ro-Ro Cargo,W12,Dry Cargo/Passenger,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Passenger,Passenger/Ro-Ro Ship (Vehicles/Train)
W12E5PC,"Cruise Ship, Inland Waterways",W12E,Inland Waterways Passenger,W12,Dry Cargo/Passenger,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Passenger,Cruise Ship
W12E5PS,"Passenger Ship, Inland Waterways",W12E,Inland Waterways Passenger,W12,Dry Cargo/Passenger,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Passenger,Passenger Ship
W13A5FV,"Fishing, Inland Waterways",W13A,Inland Waterways Fishing,W13,Other Non-Seagoing,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Fishing,Fishing Vessel
W13B5SR,"Research, Inland Waterways",W13B,Inland Waterways Research,W13,Other Non-Seagoing,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Specialist 1,Research Survey Vessel
W13C5ST,"Towing/Pushing, Inland Waterways",W13C,Inland Waterways Towing/Pushing,W13,Other Non-Seagoing,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Specialist 1,Tug
W13D5DU,"Dredging, Inland Waterways",W13D,Inland Waterways Dredging,W13,Other Non-Seagoing,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Dredger,Dredger (unspecified)
W13E5QQ,"Other Activities, Inland Waterways",W13E,Inland Waterways Other Activities,W13,Other Non-Seagoing,W1,Non-Seagoing Merchant Ships,W,Non Seagoing Merchant Ships,Barge,Specialist 2,Unspecified activity
X11A2YH,Houseboat,X11A,Yacht,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Yacht,Houseboat
X11A2YP,Yacht,X11A,Yacht,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private"
X11A2YS,Yacht (Sailing),X11A,Yacht,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Yacht,"Yacht, Private (Sailing)"
X11B2QN,Sail Training Ship,X11B,Sail Training Ship,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Specialist 2,Sail Training Ship
X11C2AA,"Crane Vessel, Naval Auxiliary",X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval Auxiliary,"Crane Vessel, Naval auxiliary"
X11C2AD,Replenishment Dry Cargo Vessel,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval Auxiliary,Replenishment Dry Cargo Vessel
X11C2AP,"Aircraft Transport, Naval auxiliary",X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval Auxiliary,"Aircraft Transport, Naval auxiliary"
X11C2AT,Replenishment Tanker,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval Auxiliary,Replenishment Tanker
X11C2AU,"Unknown Function, Naval/Naval Auxiliary",X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval Auxiliary,"Unknown Function, Naval auxiliary"
X11C2MA,Naval Small Craft,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 1,Naval Small Craft
X11C2MB,Boom defence Vessel,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 1,Boom defense vessel
X11C2MD,Degaussing Vessel,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 1,Degaussing vessel
X11C2MH,Minehunter,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 1,Minehunter
X11C2ML,Minelayer,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 1,Minelayer
X11C2MM,Minesweeper,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 1,Minesweeper
X11C2MN,Netlayer,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 1,Netlayer
X11C2MP,Seaplane Tender,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 1,Seaplane Tender
X11C2MR,Torpedo Recovery Vessel,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 1,Torpedo Recovery vessel
X11C2MT,Troopship,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 1,Troopship
X11C2MU,Munitions Carrier,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 1,Munitions carrier
X11C2MV,Submarine Salvage Vessel,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 1,Submarine Salvage Vessel
X11C2NA,Aircraft Carrier,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 2,Aircraft Carrier
X11C2NB,Command Vessel,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 2,Command vessel
X11C2NC,Corvette,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 2,Corvette
X11C2ND,Destroyer,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 2,Destroyer
X11C2NE,Escort,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 2,Escort
X11C2NF,Frigate,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 2,Frigate
X11C2NH,Helicopter Carrier,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 2,Helicopter Carrier
X11C2NK,"Attack Vessel, Naval",X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 2,"Attack Vessel, Naval"
X11C2NU,Torpedo Trials Vessel,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 2,Torpedo Trials Vessel
X11C2NW,Weapons Trials Vessel,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 2,Weapons Trials Vessel
X11C2NX,Submarine Chaser,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 2,Submarine Chaser
X11C2NY,Torpedo Boat,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Naval 2,Torpedo Boat
X11C3MX,Logistics Vessel (Naval Ro-Ro Cargo),X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Semi-Sub,Naval 1,Logistics vessel (Naval Ro-Ro Cargo)
X11C3NI,Infantry Landing Craft,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Semi-Sub,Naval 2,Infantry Landing Craft
X11C3NL,Landing Ship (Dock Type),X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Semi-Sub,Naval 2,Landing Ship (Dock Type)
X11C3NT,Tank Landing Craft,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Semi-Sub,Naval 2,Tank Landing Craft
X11C4NS,Submarine,X11C,Naval/Naval Auxiliary,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Non Ship Shape,Naval 2,Submarine
X11D2QT,"Training Ship, Stationary",X11D,Other Non Merchant Ships,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Specialist 2,Training Ship
X11D2XA,"Accommodation Vessel, Stationary",X11D,Other Non Merchant Ships,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Miscellaneous,"Accommodation Vessel, Stationary"
X11D2XL,Lightship,X11D,Other Non Merchant Ships,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Miscellaneous,Lightship
X11D2XM,"Museum, Stationary",X11D,Other Non Merchant Ships,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Miscellaneous,"Museum, Stationary"
X11D2XR,"Restaurant Vessel, Stationary",X11D,Other Non Merchant Ships,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Miscellaneous,"Restaurant Vessel, Stationary"
X11D2XS,Radio Station Vessel,X11D,Other Non Merchant Ships,X11,Yacht,X1,Non-Merchant Ships,X,Non Merchant,Ship Shape Including Multi-Hulls,Miscellaneous,Radio-Station Vessel
Y11A5BA,"Bulk Aggregates Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,Dry Bulk Cargo,Aggregates Carrier
Y11A5BH,"Covered Bulk Cargo Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,Dry Bulk Cargo,Covered Bulk Barge
Y11A5BT,"Bulk Cement Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,Dry Bulk Cargo,Cement Carrier
Y11A5FH,"Fish Storage Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,Fishing,Fish Storage Vessel
Y11A5GC,"General Cargo Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,General Cargo,General Cargo (with container facility)
Y11A5LA,"Bitumen Tank Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,Liquid cargo,Asphalt/Bitumen Tanker
Y11A5QJ,"Trans Shipment Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,Specialist 2,Trans-Shipment Vessel
Y11A5QO,"Water Tank Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,Specialist 2,"Water Tank Barge, Non Propelled"
Y11A5SH,"Hopper Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,Specialist 1,Hopper
Y11A5SX,"Cement Storage Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,Specialist 1,Bulk Cement Storage Ship
Y11A5TC,"Chemical Tank Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,Petroleum Products,Chemical Tanker
Y11A5TG,"LPG Tank Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,Petroleum Products,LPG Tanker
Y11A5TP,"Products Tank Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,Petroleum Products,Products Tanker
Y11A5TR,"Chemical/Products Tank Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,Petroleum Products,Chemical/Products Tanker
Y11A5TV,"Crude Oil Tank Barge, non propelled",Y11A,Non Propelled Barge,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Barge,Petroleum Products,Crude Oil Tanker
Y11B3DC,"Deck Cargo Pontoon, semi submersible",Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Ship Shape Semi-Sub,Dredger,Cutter Suction Dredger
Y11B3WJ,"Jacket Launching Pontoon, semi submersible",Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Ship Shape Semi-Sub,Pontoons and Structures,Jacket-launching Pontoon
Y11B4DB,Bucket Dredger Pontoon,Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Dredger,Bucket Dredger
Y11B4DC,"Deck Cargo Pontoon, non propelled",Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Dredger,Cutter Suction Dredger
Y11B4DG,Grab Dredger Pontoon,Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Dredger,Grab Dredger
Y11B4DS,Suction Dredger Pontoon,Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Dredger,Suction Dredger
Y11B4DU,"Dredging Pontoon, unknown dredging type",Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Dredger,Dredger (unspecified)
Y11B4DW,Water-injection Dredging Pontoon,Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Dredger,Water-jet Dredger
Y11B4SC,"Crane Vessel, non propelled",Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Specialist 1,Crane Ship
Y11B4WE,"Power Station Pontoon, non propelled",Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Pontoons and Structures,Power Station
Y11B4WG,"Grain Elevating Pontoon, non propelled",Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Pontoons and Structures,"Grain-Elevating Pontoon, non-propelled"
Y11B4WL,Sheerlegs Pontoon,Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Pontoons and Structures,Sheerlegs Pontoon
Y11B4WO,"Desalination Pontoon, non propelled",Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Pontoons and Structures,"Desalination Pontoon, non-propelled"
Y11B4WS,Shopping Complex,Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Pontoons and Structures,Shopping Complex
Y11B4WT,"Steam Supply Pontoon, non propelled",Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Pontoons and Structures,"Steam-Supply Pontoon, non-propelled"
Y11B4WV,Car Park,Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Pontoons and Structures,Car Park
Y11B4WW,"Work/Maintenance Pontoon, non propelled  ",Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Pontoons and Structures,Work/Maintenance Pontoon
Y11B4XX,Pontoon (Function Unknown),Y11B,Pontoon,Y11,Barge,Y1,Non-Propelled,Y,Non Propelled,Non Ship Shape,Miscellaneous,Vessel (Function unknown)
Z11A4PR,Air Cushion Vehicle Passenger/Ro-Ro Ship (Vehicles),Z11A,Air Cushion Vehicle (Hovercraft),Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Passenger,Passenger/Ro-Ro Ship (Vehicles)
Z11A4PS,Air Cushion Vehicle Passenger,Z11A,Air Cushion Vehicle (Hovercraft),Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Passenger,Passenger Ship
Z11A4SJ,"Air Cushion Vehicle, work vessel",Z11A,Air Cushion Vehicle (Hovercraft),Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Specialist 1,Air Cushion Vehicle
Z11A4SK,Wing In Ground Effect Vessel,Z11A,Air Cushion Vehicle (Hovercraft),Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Specialist 1,Wing In GroundEffect Vessel
Z11A4SQ,Air Cushion Vehicle Patrol Vessel,Z11A,Air Cushion Vehicle (Hovercraft),Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Specialist 1,Patrol Vessel
Z11B4WA,Dock Gate,Z11B,Floating Dock,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Pontoons and Structures,Dock Gate
Z11B4WF,Floating Dock,Z11B,Floating Dock,Z11,Air Cushion Vehicle,Z1,Non-Ship Structures,Z,Non Ship Structure,Non Ship Shape,Pontoons and Structures,Floating Dock
